Nacional;Comunidades y Ciudades Autónomas;Covid-19;Sexo;Semana de defunción;Total
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM50;131
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM51;145
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM52;150
Total Nacional;;Covid-19 Virus identificado;Hombres;2021SM53;126
Total Nacional;;Covid-19 Virus identificado;Mujeres;Total;14.898
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM01;108
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM02;538
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM03;719
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM04;836
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM05;897
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM06;864
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM07;690
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM08;458
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM09;350
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM10;249
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM11;217
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM12;178
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM13;147
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM14;154
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM15;194
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM16;204
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM17;245
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM18;269
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM19;297
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM20;328
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM21;303
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM22;249
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM23;209
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM24;245
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM25;301
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM26;282
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM27;386
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM28;469
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM29;741
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM30;639
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM31;480
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM32;343
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM33;264
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM34;155
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM35;163
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM36;110
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM37;91
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM38;85
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM39;46
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM40;60
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM41;98
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM42;91
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM43;100
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM44;102
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM45;81
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM46;81
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM47;98
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM48;114
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM49;98
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM50;125
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM51;136
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM52;110
Total Nacional;;Covid-19 Virus identificado;Mujeres;2021SM53;101
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;Total;66
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM01;2
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM02;9
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM03;4
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM04;4
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM05;11
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM06;9
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM07;2
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM08;1
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM09;3
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM10;1
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM11;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM12;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM13;1
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM14;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM15;1
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM16;1
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM17;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM18;1
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM19;1
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM20;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM21;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM22;1
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM23;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM24;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM25;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM26;1
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM27;2
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM28;2
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM29;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM30;2
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM31;2
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM32;1
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM33;1
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM34;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM35;1
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM36;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM37;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM38;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM39;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM40;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM41;1
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM42;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM43;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM44;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM45;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM46;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM47;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM48;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM49;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM50;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM51;1
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM52;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Total;2021SM53;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;Total;35
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM01;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM02;5
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM03;2
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM04;2
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM05;5
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM06;4
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM07;1
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM08;1
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM09;2
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM10;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM11;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM12;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM13;1
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM14;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM15;1
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM16;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM17;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM18;1
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM19;1
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM20;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM21;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM22;1
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM23;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM24;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM25;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM26;1
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM27;2
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM28;1
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM29;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM30;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM31;1
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM32;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM33;1
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM34;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM35;1
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM36;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM37;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM38;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM39;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM40;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM41;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM42;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM43;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM44;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM45;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM46;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM47;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM48;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM49;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM50;0
Total Nacional;;Covid-19 Virus no identificado (sospechoso);Hombres;2021SM51;1
